单词,词性,释义,遗忘次数,记忆次数
antecedent,n.,先前的,0,0
antediluvian,adj.,极为过时的,0,0
anthropocentrism,n.,人类中心说,0,0
anthropogenic,adj.,人为的,0,0
anticipate,v.,期待,0,0
antidote,n. .,解药,0,0
antiquarian,adj.,古文物研究的,0,0
antiquated,adj.,老旧的， 过时的,0,0
antithesis,n.,相反， 对立,0,0
apathetic,adj.,漠不关心的,0,0
ape,v.,（笨拙的）模仿,0,0
apex,n.,最高点， 顶峰,0,0
aplomb,n., 自信沉着， 泰然自若,0,0
apocalypse,n.,大灾难,0,0
apocryphal,adj. ,被人们普遍接受却不正确的， 假的,0,0
apogee,n. ,最高点,0,0
apolitical,adj.,对政治不感兴趣的,0,0
apologist,n.,辩护人,0,0
apology,n.,辩护,0,0
apostle,n.,狂热的支持者,0,0
appeal,v.,呼吁， 恳求,0,0
appease,v.,安抚， 缓和,0,0
applaud,v. ,赞美， 支持,0,0
apposite,adj.,合适的， 相关的,0,0
appraise,v.,评估,0,0
appreciable,adj.,可感知的， 可衡量的,0,0
appreciate,v.,升值,0,0
apprehend,v.,逮捕,0,0
apprentice,n.,新手,0,0
approbate,v.,支持， 赞成,0,0
appropriate,adj.,合适的,0,0
apropos,adj.,合适的,0,0
apt,adj.,合适的,0,0
arbitrary,adj.,武断的， 任性的,0,0
arboreal,adj.,树的,0,0
arcane,adj.,难懂的，鲜为人知的,0,0
archaic,adj.,过时的,0,0
archetypal,n.,典型,0,0
archive,v. ,存档， 保存,0,0
ardent,adj.,热衷的， 热情的,0,0
arduous,adj.,困难的,0,0
arguably,adv.,可以这样说地,0,0
aristocracy,n.,贵族统治， 精英统治,0,0
arrest,v.,阻止,0,0
artifice,n. ,诡计，欺骗,0,0
artless,adj.,朴实的， 单纯的,0,0
ascertain,v.,查明,0,0
ascetic,adj.,生活朴素的,0,0
ascribe,v.,归因于,0,0
aside,n. ,跑题,0,0
asperity,n.,态度粗暴,0,0
assail,v.,批评， 攻击,0,0
assemblage,v. ,混合,0,0
asset,n.,有价值的人或事,0,0
asseverate,v.,郑重声明,0,0
assiduous,adj.,努力的,0,0
assimilate,v.,吸收,0,0
associate,n.,同事， 伙伴,0,0
august,adj.,庄严的， 肃穆的,0,0
assuage,v.,安抚， 缓和,0,0
assume,v.,假装,0,0
astringent,adj.,严厉的， 尖刻的,0,0
astronomical,adj.,巨大的,0,0
astute,adj.,敏锐的,0,0
asunder,adj.,分裂的,0,0
atavism,n.,重现,0,0
atheism,n.,无神论,0,0
attain,v.,达到， 获得,0,0
attenuate,v.,使减弱,0,0
attune,v.,使协调一致,0,0
audacious,adj.,大胆的， 无畏的,0,0
augment,v.,放大,0,0
auspicious,adj.,吉兆的， 幸运的,0,0
austere,adj.,朴素的， 没有装饰的,0,0
authenticate,v.,验证， 证明....是真实的,0,0
authoritarian,adj.,专制的,0,0
authoritative,adj.,权威的， 可信的,0,0
autocrat,n.,独裁者,0,0
autonomous,adj.,自治的,0,0
autumn,n.,晚年， 暮年,0,0
avant-garde,n.,先锋派， 前卫派,0,0
avaricious,adj.,贪婪的,0,0
avatar,n.,化身， 代表,0,0
aver,v.,断言,0,0
averse,adj.,反感的,0,0
avert,v. ,阻止,0,0
avian,adj.,跟鸟有关的,0,0
avid,adj.,非常渴望的， 贪婪的,0,0
avow,v.,承认,0,0
await,v.,等待,0,0
awry,adj.,错误的,0,0
axiomatic,adj.,公理的，不证自明的,0,0
backbone,n., 支柱， 支撑,0,0
backfire,v.,事与愿违， 起反作用,0,0
backhanded,adj.,不直接的,0,0
backlash,n.,激烈反对,0,0
backwater,n.,停滞、落后的地方,0,0
baffle,v.,使...困惑,0,0
baleful,adj.,邪恶的，不吉利的,0,0
balk,v.,（突然地)拒绝,0,0
balkanize ,v.,使割据,0,0
balloon,v.,快速上升,0,0
banal,adj.,无聊的,0,0
baneful,adj.,有害的,0,0
banish,v.,驱逐,0,0
barbarity,n.,野蛮， 残忍,0,0
baroque,adj.,奢华的， 复杂的,0,0
barring,prep.,除了......以外,0,0
base,adj.,卑鄙的,0,0
baseless,adj.,毫无根据的,0,0
bathetic,adj.,陈腐的,0,0
becoming,adj.,（尤指有吸引力的）得体的， 合适的,0,0
bedrock,n.,根基,0,0
befuddle,v.,使...困惑,0,0
beget,v.,导致,0,0
beholden,adj.,亏欠的,0,0
belabor,v.,批评,0,0
belated,adj.,晚的， 迟的,0,0
beleaguer,v.,困扰，骚扰,0,0
belie,v.,掩盖,0,0
belittle,v.,轻视， 贬低,0,0
belligerent,adj.,好斗的,0,0
bellwether,n.,领导者,0,0
bemoan,v.,哀悼， 悲伤,0,0
bemuse,v.,使...困惑,0,0
benefactor,n.,慈善家,0,0
beneficiary,n.,受帮助的人,0,0
benevolent,adj.,仁慈的， 慈善的,0,0
benighted,adj.,无知的， 愚昧的,0,0
benign,adj.,无害的,0,0
bent,adj.,有倾向的,0,0
bequeath,v.,遗赠,0,0
beset,v.,困扰,0,0
bestow,v.,授予， 给予,0,0
betoken,v.,预示,0,0
betray,v.,（无意中）显露,0,0
bewilder,v.,使...困惑,0,0
bifurcate,v. ,一分为二,0,0
bighearted,adj.,慷慨的， 宽大的,0,0
bishop,n.,主教,0,0
bitter,adj.,怨恨的， 气愤的,0,0
bland,adj.,无聊的,0,0
blatant,adj.,吵吵闹闹的,0,0
bleak,adj.,阴暗的， 阴郁的,0,0
blemish,v.,玷污， 破坏,0,0
blight,v.,破坏,0,0
blithe,adj.,无忧无虑的，轻松的,0,0
block,v.,阻碍， 妨碍,0,0
blunt,adj.,直率的,0,0
blur,v.,使...模糊不清,0,0
bluster,v.,（虚张声势地）恐吓,0,0
boast,v.,吹嘘,0,0
bogus,adj.,假的,0,0
boisterous,adj.,吵闹的,0,0
bolster,v.,支持,0,0
bombard,v.,（如炸弹般）攻击（人或事物）,0,0
bombastic,adj.,夸大的，言过其实的,0,0
bookish,adj.,书呆子气的,0,0
boon,n.,好处， 福利,0,0
boor,n.,粗人,0,0
boorish,adj.,粗鲁的， 粗野的,0,0
boost,v.,增加， 促进,0,0
bootless,adj.,无用的,0,0
bore,n.,无聊的人,0,0
boredom,n. ,厌倦,0,0
bottleneck,v.,阻塞，妨碍,0,0
bountiful,adj.,丰富的,0,0
boycott,v.,抵制,0,0
brackish,adj.,令人恶心的,0,0
brag,v.,吹嘘， 炫耀,0,0
braggadocio,n.,自夸， 吹牛大王,0,0
braggart,n.,吹牛者,0,0
brainchild,n.,(辛苦劳动的)成果， 结晶,0,0
brandish,v.,炫耀,0,0
bravado,n.,装作勇敢,0,0
brazen,adj.,厚颜无耻的， 臭不要脸的,0,0
bridle,v.,限制，抑制,0,0
brink,n.,(事情发生的) 边缘,0,0
bristle,v.,生气， 愤怒,0,0
brook,v.,容忍， 忍受,0,0
brusque,adj.,唐突的， 无礼的,0,0
bucolic,adj.,乡间生活的,0,0
budding,adj.,新出现的,0,0
bulwark,n.,堡垒，壁垒,0,0
bungle,v.,搞砸,0,0
buoy,v.,使浮起来 ,0,0
buoyant,adj.,愉悦的,0,0
bureaucracy,n.,官僚机构,0,0
burgeon,v.,繁荣， 快速增长,0,0
burlesque,n.,通过滑稽的模仿而讽刺,0,0
bustling,adj.,忙乱的,0,0
bypass,v.,绕过,0,0
byword,n.,典型， 代名词,0,0
cachet,n.,声望， 威望,0,0
cacophony,n. ,刺耳的声音， 不和谐的声音,0,0
cagey,adj.,小心的；谨慎的,0,0
cajole,v.,哄骗,0,0
calamity,n.,大灾难,0,0
calculable,adj.,可计算的,0,0
calculated,adj.,故意的， 精打细算的,0,0
callous,adj.,冷漠的,0,0
callow,adj.,幼稚的， 稚嫩的,0,0
calumny,n.,诽谤,0,0
camaraderie,n.,志同道合之情谊,0,0
canard,n.,谣言,0,0
canary,n.,金丝雀,0,0
canned,adj.,千篇一律的,0,0
cannibalism,n.,食人，嗜食同类,0,0
cannibalize,v.,采用...作为主要来源,0,0
canny,adj.,精明的， 聪明的,0,0
canonical,adj.,（书籍等在某个领域）经典之作的,0,0
cantankerous,adj.,易怒的,0,0
capitulate,v. ,投降,0,0
capricious,adj.,变化多端的,0,0
captious,adj.,挑刺的， 吹毛求疵的,0,0
captivate,v.,吸引,0,0
caricature,n.,讽刺画,0,0
castigate,v.,严厉批评,0,0
cast-iron,adj.,坚固的， 顽强的,0,0
cataclysm,n.,n. 灾难,0,0
catastrophe,n. ,灾难,0,0
categorical,adj.,绝对的， 坚定的,0,0
cater,v. ,迎合,0,0
caterwaul,v.,发出难听的声音,0,0
cautious,adj. ,小心谨慎的,0,0
cavalier,adj.,随便的，轻蔑的,0,0
cease,v.,停止,0,0
cede,v.,割让,0,0
celebrated,adj.,出名的,0,0
censure,v.,指责,0,0
cerebral,adj.,理智的,0,0
certitude,n.,确信无疑,0,0
chagrin,n.,苦恼， 烦恼,0,0
champion,n.,支持者,0,0
channel,v.,指导，引导,0,0
chaos,n.,混乱,0,0
charlatan,n.,骗子,0,0
chastise,v.,谴责,0,0
chauvinism,n.,盲目的爱国心,0,0
chauvinistic,adj.,极端爱国的,0,0
check,v.,阻止,0,0
chic,adj.,时尚的,0,0
chicanery,n.,欺骗， 诡计,0,0
chimera,n.,幻想,0,0
chivalrous,adj.,勇敢的,0,0
choke,v.,抑制,0,0
choreograph,v.,精心安排,0,0
churlish,adj.,不礼貌的,0,0
cinch,n. ,容易的事,0,0
circuitous,adj.,兜圈子的， 不直接的,0,0
circumlocution,n. ,绕圈的话语,0,0
circumscribe,v.,限制,0,0
circumspect,adj.,谨慎的,0,0
circumstantial ,adj.,详细的,0,0
circumvent,v.,绕过， 回避,0,0
civil,adj.,公民的,0,0
clairvoyance,n.,洞察力,0,0
clairvoyant,adj. ,有洞察力的,0,0
clamorous,adj.,吵吵闹闹的,0,0
clandestine,adj.,秘密的， 隐蔽的,0,0
clangorous,adj.,叮当响的， 响亮的,0,0
claustrophobic,adj.,狭小而引起不适的,0,0
clearheaded,adj.,思路清晰的,0,0
cleave,v.,忠诚于…,0,0
clergy,n.,神职人员， 牧师,0,0
cliché,n.,陈词滥调,0,0
clinical,adj.,不感情用事的， 冷静的,0,0
clique,n.,小团体,0,0
cloak,v.,伪装， 掩盖,0,0
clot,v.,凝固结块,0,0
clownish,adj.,小丑般的， 滑稽的,0,0
cloying,adj. ,令人腻烦的,0,0
clueless,adj.,无知的,0,0
clumsy,adj.,笨拙的,0,0
cluster,v.,聚集,0,0
clutch,v.,抓住,0,0
coalesce,v.,聚合， 团结,0,0
coarse,adj.,粗糙的,0,0
coax,v.,诱骗,0,0
coddle,v.,溺爱,0,0
codify,v.,整理,0,0
coerce,v. ,强制,0,0
cognizant,adj.,知道的， 有意识的,0,0
coin,v.,发明（一个新词）,0,0
coincide,v.,碰巧,0,0
collected,adj.,冷静的,0,0
collective,adj.,集体的,0,0
collectivism,n.,集体主义,0,0
collegiality,n.,共同掌权,0,0
colloquial,adj.,口头的， 非正式的,0,0
collude,v.,同谋,0,0
color,v. ,扭曲， 影响,0,0
comb,v.,仔细检查， 仔细搜寻,0,0
comity,n.,友好， 和谐,0,0
commence,v.,开始,0,0
commend,v.,赞美,0,0
commensurable,adj.,可用共同标准测量的,0,0
commensurate,adj.,相等的， 相似的,0,0
commiserate,v.,哀悼， 同情,0,0
commonplace,n.,平庸， 普通,0,0
compartmentalize,v.,分门别类， 划分,0,0
compassionate,adj.,同情的,0,0
compelling,adj.,有趣的,0,0
compensate,v.,弥补,0,0
compile,v.,编辑,0,0
complacent,adj.,自我感觉良好的， 自满的,0,0
complaint,n.,抱怨,0,0
compliant,adj.,顺从的， 迎合的,0,0
complimentary,adj.,赞美的,0,0
composed,adj.,冷静的,0,0
compound,v.,混合， 合成,0,0
comprehensive,adj.,全面的,0,0
comprise,v.,构成,0,0
compromise,v.,妥协， 让步,0,0
compulsory,adj.,强制的,0,0
compunction,n.,后悔感， 犯罪感,0,0
conceal,v.,隐藏,0,0
concede,v.,承认,0,0
conceive,v.,构想， 创造,0,0
conciliatory,adj.,安抚的， 调和的,0,0
concise,adj.,简洁的,0,0
conclusive,adj.,终结的， 最终的,0,0
concoct,v.,编造， 捏造,0,0
concomitant,adj.,相伴随的， 与...同时发生的,0,0
concord,n.,意见一致,0,0
concrete,adj.,真实的,0,0
concur,v.,同意,0,0
condemn,v.,谴责,0,0
condescend,v.,带着优越感态度对待人,0,0
condone,v.,原谅， 认可,0,0
conducive,adj.,有益的， 有帮助的,0,0
confer,v.,授予， 给予,0,0
confess,v.,坦白， 承认,0,0
confide,v.,吐露,0,0
confine,v.,限制,0,0
confiscate,v.,没收,0,0
conflate,v.,合并,0,0
conform,v.,符合， 遵守,0,0
confound,v.,使困惑,0,0
confront,v.,反抗,0,0
congenial,adj.,友善的,0,0
congruent,adj.,相一致的,0,0
congruous,adj.,一致的， 适合的,0,0
conjecture,v.,猜测,0,0
conjure,v.,想象出,0,0
connoisseur,n.,鉴赏家， 内行,0,0
conscientious,adj.,本着良心的,0,0
consensus,n.,意见一致,0,0
consequential,adj.,重要的,0,0
conservation,n.,保护,0,0
consign,v.,委托， 转交,0,0
consilience,n.,一致， 符合,0,0
consolidate,v.,巩固,0,0
consort,v.,陪伴,0,0
conspicuous,adj.,显眼的， 明显的,0,0
conspire,v.,共谋， 协力,0,0
constrict,v.,限制,0,0
construe,v.,理解,0,0
consummate,adj.,完满的， 圆满的,0,0
contagious,adj.,传染的，有感染力的,0,0
contain,v.,限制,0,0
contemplate,v.,深入思考,0,0
contemporary,adj.,当代的， 现代的,0,0
contemptuous,adj.,鄙视的,0,0
content,adj.,满足的,0,0
contentious,adj.,引起争议的,0,0
contest,v.,质疑， 否认,0,0
contiguous,adj.,临近的,0,0
contingency,n.,可能事件,0,0
contingent,adj.,依情况而定的,0,0
contour,n.,轮廓,0,0
contract,v.,招致,0,0
contradictory,adj.,对立的,0,0
contravene,v.,违反,0,0
contrite,adj.,后悔的,0,0
contrive,v. ,设计,0,0
controversial,adj.,有争议的,0,0
controvert,v.,争论， 辩论,0,0
conundrum,n.,难题,0,0
conversant,adj.,熟悉的,0,0
conviction,n. ,信念,0,0
convincing,adj.,有说服力的,0,0
convivial,adj.,好交际的， 欢聚的,0,0
convoluted,adj.,难懂的， 复杂的,0,0
convulsion,n.,骚乱， 动乱,0,0
copious,adj.,大量的,0,0
cordial,adj.,热情友好的,0,0
cornerstone,n.,重要的基石,0,0
corollary,n.,推论， 结果,0,0
corporeal,adj.,肉体的， 有实体存在的,0,0
corroborate,v.,佐证， 提供证据证明,0,0
corrode,v.,削弱， 破坏,0,0
corrosive,adj.,（言语）讽刺的，挖苦的,0,0
coruscate,v.,闪烁， 闪光,0,0
cosmopolitan,adj.,见多识广的,0,0
cosset,v.,溺爱,0,0
coterie,n.,小团体,0,0
count,v.,有重要性,0,0
countenance,v. ,赞同,0,0
counterbalance,n. ,平衡， 抵消,0,0
counterfeit,adj.,伪造的,0,0
counterintuitive,adj.,违反常理的， 与直觉相反的,0,0
countermand,v.,撤销（命令）,0,0
counterpart,n.,等价物,0,0
counterproductive,adj.,起反作用的， 事与愿违的,0,0
course,n.,过程,0,0
court,v.,招致,0,0
courteous,adj.,有礼貌的,0,0
covert,adj.,秘密的， 隐蔽的,0,0
covet,v. ,渴求,0,0
cow,v.,恐吓,0,0
coy,adj. ,腼腆的,0,0
crass,adj.,粗鲁的,0,0
crave,v. ,极度渴望,0,0
credential,n.,证明,0,0
credulous,adj.,易受欺骗的,0,0
crestfallen,adj.,沮丧的,0,0
cronyism,n.,任用亲信,0,0
croon,v.,低吟浅唱,0,0
crumble,v.,崩溃， 瓦解,0,0
culmination,n.,最终， 结果,0,0
culprit,n.,罪犯， 罪魁祸首,0,0
cumbersome,adj.,笨拙的,0,0
cunning,adj.,狡猾机智的,0,0
cupidity,n. ,贪心,0,0
curator,n.,管理者,0,0
curb,v.,限制， 控制,0,0
cure-all,n.,万能灵药,0,0
cursory,adj.,草率的， 仓促的,0,0
curt,adj.,语言简练的,0,0
curtail,v.,削减,0,0
customary,adj.,惯常的,0,0
cynic,n.,认为人性自私的人,0,0
cynical,adj.,认为人性自私的，愤世嫉俗的,0,0
cynicism,n.,认为人性自私,0,0
dainty,adj. ,小巧精致的,0,0
dampen,v.,抑制， 削弱,0,0
daredevil,adj.,鲁莽的,0,0
daunting,adj.,令人畏惧的， 望而生怯的,0,0
dazzle,v.,使…目眩， 使...惊叹,0,0
deadlock,n.,僵局,0,0
deadpan,adj.,面无表情的,0,0
dearth,n.,缺乏,0,0
debacle,n.,大灾难,0,0
debilitate,v.,使…衰弱， 虚弱,0,0
debonair,adj.,彬彬有礼的,0,0
debunk,v.,拆穿， 揭露… 的错误,0,0
decadent,adj.,（思想）堕落的， 颓废的,0,0
decay,v.,衰退,0,0
deceive,v.,欺骗,0,0
decelerate,v.,减缓,0,0
decimate,v.,（严重地）破坏,0,0
decipher,v.,解释， 破译,0,0
decisive,adj.,果决的， 坚定的,0,0
declamatory,adj.,演说般的， 慷慨激昂的,0,0
decode,v.,破译， 解码,0,0
décor,n.,（装修的）格调， 风格,0,0
decorous,adj.,得体的,0,0
decrepitude,n.,衰老,0,0
dedicate,v.,致力于， 奉献于,0,0
deduce,v.,推断,0,0
de-emphasize,v.,降低…的重要性,0,0
defame,n.,贬损， 玷污,0,0
defensive,adj.,被动防守的， 防御的,0,0
defer,v.,推迟,0,0
deference,n.,（因地位高或年长而）尊敬,0,0
defining,adj.,非常重要的,0,0
deflate,v.,使...泄气， 使...挫败,0,0
deflect,v.,使…偏离， 改变方向,0,0
deft,adj.,灵巧的,0,0
defy,v.,不遵守，不服从， 抵抗,0,0
degenerate,adj.,道德败坏的,0,0
degrade,v.,贬低,0,0
deify,v.,奉...为神， 尊敬,0,0
dejected,adj.,沮丧的,0,0
delegate,n.,代表,0,0
deleterious,adj.,有害的,0,0
deliberate,v.,深思熟虑,0,0
delightful,adj.,（形容事物）令人愉悦的， 令人高兴的,0,0
delineate,v.,描绘轮廓,0,0
delude,v.,迷惑， 欺骗,0,0
delve,v.,搜寻， 挖掘,0,0
demanding,adj.,费力的,0,0
demarcate,v.,划分边界,0,0
demise,n.,死亡， 灭亡,0,0
demographic,adj.,与人口统计有关的,0,0
demolish,v.,拆毁,0,0
demonize ,v.,妖魔化,0,0
demonstrable,adj.,可证明的,0,0
demonstrative,adj.,显露情感的,0,0
demoralize,v.,使...泄气,0,0
demur,v.,反对,0,0
denigrate,v.,攻击， 贬损,0,0
denizen,n.,居民,0,0
denounce,v.,批评,0,0
dense,adj.,浓密的,0,0
depict,v.,描述,0,0
deplete,v.,耗尽,0,0
deprecate,v.,贬损，诋毁,0,0
deprive,v.,使丧失， 剥夺,0,0
derelict,adj. ,被遗弃的,0,0
derivative,adj.,非原创的,0,0
derogate,v.,贬低,0,0
descendant,adj.,下降的,0,0
designate,adj.,指定的， 选定的,0,0
despot,n.,独裁者,0,0
despotic,adj. ,独裁的， 专制的,0,0
desultory,adj.,漫无目的的,0,0
detached,adj.,不受感情影响的， 公正的,0,0
deter,v.,阻止,0,0
deteriorate,v.,恶化,0,0
detestation,n.,厌恶， 反感,0,0
detract,v.,贬低,0,0
detriment,n.,损坏， 破坏,0,0
detritus,n.,碎石， 残余物,0,0
devastate,v.,严重破坏,0,0
deviate,v.,脱离， 偏离,0,0
devious,adj.,欺骗的,0,0
devoid,adj.,缺乏的,0,0
devolve,v.,衰落,0,0
dewy-eyed,adj.,天真的， 朴素的,0,0
dexterity,n.,灵巧，敏婕,0,0
diatribe,n.,谩骂,0,0
dichotomy,n.,矛盾的事物,0,0
dictate,v.,掌控， 支配,0,0
dictator,n.,独裁者,0,0
didactic,adj.,(过分的道德层面的)说教,0,0
diehard,adj.,顽固的,0,0
diffident ,adj.,缺乏自信的， 胆怯的,0,0
diffuse,v.,扩散,0,0
digest,n.,文摘,0,0
digress,v.,偏题， 跑题,0,0
dilapidate,v. ,使...破败,0,0
dilatory,adj.,拖延的,0,0
dilettante,n.,半吊子， 业余的人， 一知半解的人,0,0
diligent,adj.,努力的， 刻苦的,0,0
dilute,v.,削弱， 减轻,0,0
diminutive,adj.,极小的,0,0
dire,adj.,可怕的， 严重的,0,0
disapprobation,n.,不赞成；非难,0,0
disarray,n.,杂乱， 混乱,0,0
disavow,v.,否认,0,0
discern,v.,识别， 察觉,0,0
discerning,adj.,有洞察力的,0,0
discharge,v.,解雇,0,0
disclose,v.,揭发， 揭露,0,0
disconcerting,adj.,令人不安的,0,0
discontinue,v.,终止,0,0
discordant,adj.,不一致的,0,0
discount,v.,低估， 轻视,0,0
discredit,v.,拒绝承认,0,0
discrepancy,n.,差异,0,0
discrete,adj.,分开的， 分离的,0,0
discretion,n.,自由决定,0,0
discriminating,adj.,有洞察力的， 有鉴别能力的,0,0
discriminatory,adj.,不公平的， 歧视的,0,0
discursive,adj.,杂乱无章的,0,0
disdain,v.,蔑视， 鄙视,0,0
disengage,v.,使解脱,0,0
disgorge,v.,吐,0,0
disgruntle,v.,使...不高兴,0,0
disguise,v.,隐藏， 伪装,0,0
dishearten,v.,使...士气低落,0,0
disinformation,n.,假情报， 假消息,0,0
disintegrate,v.,瓦解,0,0
disinterested,adj.,客观公正的,0,0
disjunction,n.,分离， 分裂,0,0
dismantle,v.,拆开,0,0
dismissal,n.,免职，开除,0,0
dismissive,adj.,轻视的， 无视的,0,0
disorganize,v.,打乱， 破坏,0,0
disown,v.,否认,0,0
disparage,v.,鄙视,0,0
disparate,adj.,不同的,0,0
dispassionate,adj.,客观的,0,0
dispatch,n.,迅速,0,0
dispense,v.,分配， 分发,0,0
disperse,v.,使...分散,0,0
displace,v.,驱逐,0,0
disproportionate ,adj.,不成比例的,0,0
disprove,v.,驳斥,0,0
disputant,n.,争论者,0,0
dispute,v.,争辩， 反对,0,0
disquiet,v.,使...不安,0,0
disquisition,n.,演讲， 报告,0,0
disregard,v.,无视， 忽视,0,0
disreputable,adj， ,声明狼藉的,0,0
dissemble,v.,隐藏伪装（感情、意见）,0,0
disseminate,v.,传播， 散布,0,0
dissent,v.,持不同意见,0,0
dissipate,v.,使...消散,0,0
distance,v.,超出，把…..甩在后面,0,0
distend,v.,膨胀,0,0
distill,v.,蒸馏,0,0
distinctive,adj.,独特的，显著区别的,0,0
distort,v.,曲解,0,0
distress,v. ,使......紧张， 忧虑， 不适,0,0
divergent,adj.,不同的,0,0
diverse,adj.,多样的， 不同的,0,0
divert,v.,分散， 转移（注意力， 精神）,0,0
divest,v.,剥夺,0,0
divination,n.,预言， 占卜,0,0
divisive,adj.,引起争议的， 引起分裂的,0,0
divulge,v.,泄露,0,0
doctrinaire,adj.,空谈理论的，教条的,0,0
document,v.,详细记录,0,0
dogmatic,adj.,教条的,0,0
dolorous,adj.,悲伤的,0,0
domesticate,v.,驯服,0,0
don,v.,穿上,0,0
doom,v.,注定（失败）,0,0
dour,adj.,严肃的， 阴郁的,0,0
douse,v.,熄灭,0,0
dovish,adj.,爱好和平的,0,0
downcast,adj.,不开心的， 沮丧的,0,0
downplay,v.,轻描淡写,0,0
downright,adv.,完全地,0,0
downsize,v.,缩小,0,0
draconian,adj.,极其严苛的,0,0
dreary,adj.,令人悲伤的,0,0
droll,adj.,古怪的， 搞笑的,0,0
